country,iso3,climate_vulnerability_index,Year,child_stunting_rate,child_wasting_rate,child_underweight_rate,infant_mortality,under5_mortality,child_mortality,who_stunting_rate,food_supply_kcal,poverty_below_3usd,tfp_index
Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,3467.567,0.9892079,103.6886
Australia and New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA
Australia and New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA
Australia and New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA
Bahrain,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,3365.9885,NA,105.6793
Bahrain,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,3365.9885,NA,105.6793
Bahrain,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,3365.9885,NA,105.6793
Belarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,3461.5132,0,110.8682
Belarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,3461.5132,0,110.8682
Belarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,3461.5132,0,110.8682
Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,3913.8599,0.08690045,104.489
Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,3913.8599,0.08690045,104.489
Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,3913.8599,0.08690045,104.489
Bolivia (Plurinational State of),NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,NA,NA
Bolivia (Plurinational State of),NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,NA,NA,NA
Bolivia (Plurinational State of),NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,NA,NA,NA
Bosnia and Herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,3398.2314,0.23511446,109.7922
Bosnia and Herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,3398.2314,0.23511446,109.7922
Bosnia and Herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,3398.2314,0.23511446,109.7922
Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,144.2765
Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,144.2765
Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,NA,NA,144.2765
Bulgaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,3035.3965,1.0110016,89.283
Bulgaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,3035.3965,1.0110016,89.283
Bulgaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,3035.3965,1.0110016,89.283
Cabo Verde,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,82.8945
Cabo Verde,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,82.8945
Cabo Verde,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,NA,82.8945
Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,NA,NA,101.6986
Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,NA,NA,101.6986
Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,NA,NA,101.6986
Central African Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3,2418.7656,71.61735,120.5326
Central African Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5,2418.7656,71.61735,120.5326
Central African Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,2418.7656,71.61735,120.5326
Central America,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8,NA,NA,105.5948
Central America,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6,NA,NA,105.5948
Central America,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,NA,NA,105.5948
Central Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,103.5359
Central Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,103.5359
Central Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,103.5359
