Country,hunger_vulnerability_rating,undernourishment_rate,undernourished_population,latest_fao_year,gdp_per_capita,life_expectancy,population,poverty_rate,region,income,poverty_headcount,gini_coefficient,poverty_gap,total_markets,total_population_served,climate_vulnerability_index,who_stunting_rate,child_stunting_rate,child_wasting_rate,child_underweight_rate,infant_mortality,under5_mortality,child_mortality,food_supply_kcal,tfp_index,poverty_below_3usd,major_hunger_outbreak_21st,outbreak_years
Liberia,87.6,35.5,2,2022-2024,799.19,62.16,5493031,NA,Sub-Saharan Africa,Low income,0.93,0.35,0.55,26,1293459,72.1,24.3,28,2.47,8.14,64.9,92,29,2075.71,88.2,33.56,FALSE,None
Libya,44.9,16.5,1.2,2022-2024,6172.81,69.34,7305659,NA,Middle East & North Africa,Upper middle income,NA,NA,NA,39,2567717,43.9,8.6,NA,NA,NA,NA,NA,NA,3013.01,123.69,NA,FALSE,None
Liechtenstein,5,NA,NA,NA,207973.62,84.84,39850,NA,Europe & Central Asia,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Lithuania,13.3,2.5,NA,2022-2024,27786.01,76.99,2871585,1.1,Europe & Central Asia,High income,0.04,0.36,0.02,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,3326.1,96.13,1.1,FALSE,None
Low & middle income,17.9,NA,NA,NA,5819.84,71.97,6499219471,12.2,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Low income,45,NA,NA,NA,697.17,64.52,607774703,56.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Low-income countries,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2280.02,NA,NA,FALSE,None
Lower middle income,27,NA,NA,NA,2443.41,69.6,3082002881,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Lower-middle-income countries,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2617.38,NA,NA,FALSE,None
Luxembourg,11,2.5,NA,2022-2024,131407.68,83.36,666430,0.1,Europe & Central Asia,High income,0,0.34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3452.54,112.02,0.09,FALSE,None
Macao,14,11.2,NA,2022-2024,67476.53,83.18,678800,NA,East Asia & Pacific,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2899.06,NA,NA,FALSE,None
Macedonia,15.1,2.5,NA,2022-2024,8624.28,75.32,1827816,NA,Europe & Central Asia,Upper middle income,0.28,0.34,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Madagascar,100,39.5,12.3,2022-2024,508.72,63.63,31195932,NA,Sub-Saharan Africa,Low income,0.98,0.37,0.72,92,2733504,71.3,35.7,38.1,7.8,20.4,42.8,69.3,25.2,1924.94,95.08,69.17,TRUE,2021-2022
Malawi,73.6,21.4,4.5,2022-2024,602.34,67.35,21104482,NA,Sub-Saharan Africa,Low income,0.98,0.39,0.75,129,5152794,75.4,30.2,34.8,2.28,14,59.5,59.9,NA,2621.52,103.73,75.44,FALSE,None
Malaysia,26.6,2.5,NA,2022-2024,11379.09,76.66,35126298,NA,East Asia & Pacific,Upper middle income,0.06,0.41,0.01,NA,NA,27.5,22.9,NA,NA,NA,NA,NA,NA,2937.75,95.74,0.01,FALSE,None
Maldives,16.8,NA,NA,NA,12530.36,81.04,525994,NA,South Asia,Upper middle income,0.2,0.29,0.04,NA,NA,32.2,13.6,NA,NA,NA,NA,NA,NA,2650.89,NA,0,FALSE,None
Mali,75.4,12.3,2.9,2022-2024,1035.86,60.44,23769127,NA,Sub-Saharan Africa,Low income,0.93,0.36,0.56,128,16037103,73.3,21.1,NA,NA,NA,NA,NA,NA,2734.44,100.02,36.1,TRUE,"2012, 2018-2020"
Malta,21.6,2.5,NA,2022-2024,40182.43,83.51,552747,NA,Middle East & North Africa,High income,0.01,0.35,0,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,3329.87,115.88,0.11,FALSE,None
Marshall Islands,23.8,NA,NA,NA,6678.34,66.94,38827,NA,East Asia & Pacific,Upper middle income,0.48,0.35,0.16,NA,NA,NA,28.2,NA,NA,NA,NA,NA,NA,3389.89,NA,2.1,FALSE,None
Mauritania,51.2,8.7,0.4,2022-2024,2120.82,68.48,5022441,NA,Sub-Saharan Africa,Lower middle income,0.8,0.32,0.37,34,1569786,62.3,19.4,23.9,1.06,11.6,0.01,0.01,4.79,2914.45,89.8,10.22,FALSE,None
Mauritius,31.5,8.7,0.1,2022-2024,11182.19,73.41,1261041,NA,Sub-Saharan Africa,Upper middle income,0.29,0.37,0.08,NA,NA,31.4,6.9,NA,NA,NA,NA,NA,NA,3167.99,100.18,0.54,FALSE,None
Melanesia,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Mexico,34.7,2.7,3.5,2022-2024,13826.13,75.07,129739759,NA,Latin America & Caribbean,Upper middle income,0.37,0.43,0.13,5,3113161,34.1,11.8,NA,NA,NA,NA,NA,NA,3297.65,107.03,2.33,FALSE,None
Micronesia,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7,NA,NA,NA,NA,NA,NA,NA,96.62,NA,FALSE,None
Micronesia (country),10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2805.13,NA,26.15,FALSE,None
