Country,hunger_vulnerability_rating,undernourishment_rate,undernourished_population,latest_fao_year,gdp_per_capita,life_expectancy,population,poverty_rate,region,income,poverty_headcount,gini_coefficient,poverty_gap,total_markets,total_population_served,climate_vulnerability_index,who_stunting_rate,child_stunting_rate,child_wasting_rate,child_underweight_rate,infant_mortality,under5_mortality,child_mortality,food_supply_kcal,tfp_index,poverty_below_3usd,major_hunger_outbreak_21st,outbreak_years
Afghanistan,89.5,28.1,11.7,2022-2024,413.76,66.03,41454761,NA,South Asia,Low income,NA,NA,NA,40,4373720,76.8,41.4,NA,NA,NA,NA,NA,NA,2273.89,131.85,NA,TRUE,"2001-2002, 2018-2021"
Albania,22.8,5.4,0.2,2022-2024,8575.17,79.6,2745972,NA,Europe & Central Asia,Upper middle income,0.31,0.29,0.08,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,3408.11,107.06,0.34,FALSE,None
Algeria,34.9,2.5,NA,2022-2024,5364.03,76.26,46164219,NA,Middle East & North Africa,Upper middle income,0.58,0.28,0.18,7,897960,43.5,8.4,NA,NA,NA,NA,NA,NA,3424.5,106.81,0,FALSE,None
American Samoa,5,NA,NA,NA,NA,72.85,47521,NA,East Asia & Pacific,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Andorra,5,NA,NA,NA,46812.45,84.04,80856,NA,Europe & Central Asia,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Angola,80.3,22.5,8.3,2022-2024,2309.53,64.62,36749906,NA,Sub-Saharan Africa,Lower middle income,0.86,0.51,0.53,2,2788876,69,44.8,NA,NA,NA,NA,NA,NA,2431.64,96.85,39.29,FALSE,None
Antigua and Barbuda,12,NA,NA,NA,21494.55,77.6,93316,NA,Latin America & Caribbean,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2482.49,NA,NA,FALSE,None
Arab World,13,NA,NA,NA,7479.69,72.44,482105978,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Argentina,31.1,3.4,1.5,2022-2024,14187.48,77.39,45538401,1.2,Latin America & Caribbean,Upper middle income,NA,NA,NA,3,2193834,NA,9.7,NA,NA,NA,NA,NA,NA,3354.89,80.43,NA,FALSE,None
Argentina (urban),0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,FALSE,None
Argentina urban,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Armenia,23.4,2.5,NA,2022-2024,8125.27,77.47,2964300,1.9,Europe & Central Asia,Upper middle income,0.72,0.27,0.25,13,1125456,NA,5.8,NA,NA,NA,NA,NA,NA,3162.62,118.18,1.93,FALSE,None
Aruba,10,NA,NA,NA,33984.79,76.35,107359,NA,Latin America & Caribbean,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
"Asia, Developed",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.69,NA,FALSE,None
"ASIA, Total",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.41,NA,FALSE,None
"ASIA, Total LDC",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.04,NA,FALSE,None
Australia,12.5,2.5,NA,2022-2024,64835.92,83.05,26652777,NA,East Asia & Pacific,High income,0.01,0.34,0.01,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,3467.57,103.69,0.99,FALSE,None
Australia and New Zealand,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Austria,11,2.5,NA,2022-2024,56033.57,81.54,9131761,0.5,Europe & Central Asia,High income,0.01,0.31,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3759.59,109.96,0.53,FALSE,None
Azerbaijan,19.5,2.5,NA,2022-2024,7133.03,74.43,10153958,NA,Europe & Central Asia,Upper middle income,0.57,0.27,0.13,NA,NA,NA,6.4,6.6,3.5,3,12.2,13.7,NA,3347.82,125.02,0,FALSE,None
Bahamas,16,NA,NA,NA,38231.77,74.55,399440,NA,Latin America & Caribbean,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2701.83,98.56,NA,FALSE,None
Bahrain,19.8,NA,NA,NA,29290.13,81.28,1577059,NA,Middle East & North Africa,High income,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,3365.99,105.68,NA,FALSE,None
Bangladesh,50.5,10.4,17.9,2022-2024,2551.02,74.67,171466990,NA,South Asia,Lower middle income,0.82,0.31,0.35,76,34239144,45.6,24.4,21.6,10.9,21.1,32.4,36.2,5.46,2608.24,89.15,5.91,FALSE,None
Barbados,14.6,4.4,NA,2022-2024,23804.02,76.18,282336,NA,Latin America & Caribbean,High income,0.24,0.34,0.07,NA,NA,33.3,5,NA,NA,NA,NA,NA,NA,3189.65,NA,1.68,FALSE,None
Belarus,24.2,2.5,NA,2022-2024,7896.75,74.18,9178298,NA,Europe & Central Asia,Upper middle income,0.06,0.24,0.01,1,924351,NA,1.1,NA,NA,NA,NA,NA,NA,3461.51,110.87,0,FALSE,None
Belgium,12.5,2.5,NA,2022-2024,54690.09,82.4,11787423,0.1,Europe & Central Asia,High income,0,0.27,0,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,3913.86,104.49,0.09,FALSE,None
Belgium-Luxembourg,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.36,NA,FALSE,None
Belize,31.8,7,NA,2022-2024,7460,73.57,411106,NA,Latin America & Caribbean,Upper middle income,0.28,0.4,0.09,NA,NA,40.7,10.5,NA,NA,NA,NA,NA,NA,2833.1,86.53,1.04,FALSE,None
Benin,64.9,14.3,2,2022-2024,1394.18,60.77,14111034,NA,Sub-Saharan Africa,Lower middle income,0.92,0.34,0.52,51,3429377,67.2,30.4,39,10.3,23.3,64.5,63.9,NA,2703.31,95.5,27.22,FALSE,None
Bermuda,0,NA,NA,NA,132604.44,82.31,64698,NA,North America,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2776.35,NA,NA,FALSE,None
Bhutan,27.5,NA,NA,NA,3839.41,72.97,786385,NA,South Asia,Lower middle income,0.18,0.28,0.04,24,224113,38.4,17.2,NA,NA,NA,NA,NA,NA,3221.64,87.37,0.01,FALSE,None
Bolivia,56.5,21.8,2.7,2022-2024,3686.28,68.58,12244159,2.8,Latin America & Caribbean,Lower middle income,0.24,0.42,0.08,9,2467124,41.2,NA,NA,NA,NA,NA,NA,NA,2359.75,98.39,2.82,FALSE,None
Bolivia (Plurinational State of),1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Bolivia (urban),5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,FALSE,None
Bosnia and Herzegovina,20.5,2.5,NA,2022-2024,8663.02,77.85,3185073,NA,Europe & Central Asia,Upper middle income,0.14,0.33,0.04,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,3398.23,109.79,0.24,FALSE,None
Botswana,63.2,24,0.6,2022-2024,7826.35,69.16,2480244,NA,Sub-Saharan Africa,Upper middle income,0.69,0.55,0.38,NA,NA,39.4,18.6,NA,NA,NA,NA,NA,NA,2826.39,80.93,21.37,FALSE,None
Brazil,34.7,2.5,NA,2022-2024,10377.59,75.85,211140729,3.8,Latin America & Caribbean,Upper middle income,0.31,0.52,0.12,NA,NA,33.4,8.1,NA,NA,NA,NA,NA,NA,3383.55,96.59,3.82,FALSE,None
British Virgin Islands,10,NA,NA,NA,NA,77.28,38985,NA,Latin America & Caribbean,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Brunei,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2959.87,NA,NA,FALSE,None
Brunei Darussalam,8.8,NA,NA,NA,32890.55,75.33,458949,NA,East Asia & Pacific,High income,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,144.28,NA,FALSE,None
Bulgaria,18.1,2.5,NA,2022-2024,15883.86,75.71,6446596,1,Europe & Central Asia,High income,0.06,0.39,0.02,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,3035.4,89.28,1.01,FALSE,None
Burkina Faso,84.4,13.1,3,2022-2024,882.69,61.09,23025776,NA,Sub-Saharan Africa,Low income,0.94,0.37,0.59,66,4017702,77.6,17.5,19.8,9.44,15.3,25.7,38.3,12.4,2694.63,84.83,42.06,TRUE,"2012, 2018-2020"
Burundi,60.4,NA,NA,NA,192.07,63.65,13689450,NA,Sub-Saharan Africa,Low income,0.98,0.37,0.75,73,5526137,83.5,52,NA,NA,NA,NA,NA,NA,1697.98,92.46,74.2,FALSE,None
Cabo Verde,50,13.5,NA,2022-2024,4861.29,76.06,522331,NA,Sub-Saharan Africa,Lower middle income,0.73,0.42,0.36,3,79602,NA,4.7,NA,NA,NA,NA,NA,NA,NA,82.89,NA,FALSE,None
Cambodia,30.3,5.2,0.9,2022-2024,2429.75,70.67,17423880,NA,East Asia & Pacific,Lower middle income,NA,NA,NA,86,7784476,54.4,20.5,18.4,9.77,13.9,8.37,11,2.65,2655.55,115.71,NA,FALSE,None
Cameroon,54.1,4.8,1.4,2022-2024,1736.86,63.7,28372687,NA,Sub-Saharan Africa,Lower middle income,0.81,0.42,0.44,83,11823154,62.7,24.7,NA,NA,NA,NA,NA,NA,2868.89,91.93,26.69,FALSE,None
Canada,7,2.5,NA,2022-2024,54220.33,81.65,40083484,NA,North America,High income,0,0.31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3572.06,103.63,0.25,FALSE,None
Cape Verde,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.1,NA,NA,NA,NA,NA,NA,NA,3014.7,NA,14.6,FALSE,None
Caribbean,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,NA,NA,NA,NA,NA,NA,NA,101.7,NA,FALSE,None
Caribbean small states,4,NA,NA,NA,17582.26,73.17,4519904,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Cayman Islands,10,NA,NA,NA,97749.51,80.36,73038,NA,Latin America & Caribbean,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Chad,100,32,6.2,2022-2024,989.06,55.07,19319064,NA,Sub-Saharan Africa,Low income,0.93,0.37,0.58,61,1727550,89.4,29.3,NA,NA,NA,NA,NA,NA,2097.07,102.81,39.48,TRUE,"2010, 2017-2018"
Channel Islands,5,NA,NA,NA,74589.14,81.1,167691,NA,Europe & Central Asia,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Chile,23.3,2.5,0.5,2022-2024,17067.04,81.17,19658835,NA,Latin America & Caribbean,High income,0.1,0.43,0.03,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,3113.64,127.61,0.52,FALSE,None
Chili,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
China,24,2.5,NA,2022-2024,12951.18,77.95,1410710000,NA,East Asia & Pacific,Upper middle income,0.32,0.36,0.09,11,7062201,33.4,4.2,NA,NA,NA,NA,NA,NA,3453.9,113.78,0,FALSE,None
China (rural),0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,None
China (urban),0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,None
Colombia,36.4,3.9,2,2022-2024,7000.84,77.72,52321152,7.7,Latin America & Caribbean,Upper middle income,0.46,0.54,0.2,27,10817356,32.1,10.5,NA,NA,NA,NA,NA,NA,3120.6,101.61,7.69,FALSE,None
Colombia (urban),7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3,FALSE,None
Comoros,65.8,15.4,0.1,2022-2024,1682.2,66.78,850387,NA,Sub-Saharan Africa,Lower middle income,0.84,0.45,0.48,NA,NA,61.2,15.5,17,4.25,8.42,27.9,33.7,NA,2423.72,87.89,31.36,FALSE,None
Congo,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,NA,NA,NA,NA,NA,NA,2167.06,NA,39.22,FALSE,None
Congo Brazzaville,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Congo Democratic Republic,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Congo DR,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.8,NA,FALSE,None
Congo Republic,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.56,NA,FALSE,None
"Congo, Rep.",36.4,NA,NA,NA,2477.98,65.77,6182885,NA,Sub-Saharan Africa,Lower middle income,0.88,0.49,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Costa Rica,28,2.5,NA,2022-2024,16942.03,80.8,5105525,1.5,Latin America & Caribbean,Upper middle income,0.18,0.46,0.06,NA,NA,27.8,9.7,NA,NA,NA,NA,NA,NA,2999.11,94.41,1.28,FALSE,None
Cote d'Ivoire,53.7,NA,NA,NA,2554.67,61.94,31165654,NA,Sub-Saharan Africa,Lower middle income,NA,NA,NA,NA,NA,60.1,NA,21.8,8.54,12.9,48.1,69.7,22.5,2736.15,NA,20.9,FALSE,None
Côte d'Ivoire,21.9,11.1,3.5,2022-2024,NA,NA,NA,NA,NA,NA,0.87,0.35,0.46,14,2616352,NA,18.3,NA,NA,NA,NA,NA,NA,NA,86.21,NA,FALSE,None
Croatia,11,2.5,NA,2022-2024,21865.46,78.47,3859686,0.3,Europe & Central Asia,High income,0.03,0.3,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3421.49,102.97,0.26,FALSE,None
Cuba,18.3,NA,NA,NA,NA,78.08,11019931,NA,Latin America & Caribbean,Upper middle income,NA,NA,NA,NA,NA,29,6.6,7.1,2,2.3,NA,NA,NA,3315.21,76.68,NA,FALSE,None
Curacao,10,NA,NA,NA,21061.74,76.8,155800,NA,Latin America & Caribbean,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
CWANA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.18,NA,FALSE,None
Cyprus,11,2.5,NA,2022-2024,36551.42,81.65,1344976,0,Europe & Central Asia,High income,0,0.32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2855.21,108.78,0.01,FALSE,None
Czech Republic,8,2.5,NA,2022-2024,31591.06,79.88,10864042,0,Europe & Central Asia,High income,0.01,0.26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Czechia,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,3368.2,100.11,0,FALSE,None
Czechoslovakia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3161.61,NA,NA,FALSE,None
"Czechslovakia, former",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.56,NA,FALSE,None
DC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.78,NA,FALSE,None
Democratic People's Republic of Korea,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Democratic Republic of Congo,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2078.95,NA,85.32,FALSE,None
Democratic Republic of the Congo,100,38.5,40.7,2022-2024,633.4,61.9,105789731,NA,Sub-Saharan Africa,Low income,0.99,0.45,0.81,176,21626333,NA,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2017-2019
Denmark,11,2.5,NA,2022-2024,68453.88,81.85,5946952,0.4,Europe & Central Asia,High income,0.01,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3579.62,103.01,0.36,FALSE,None
Djibouti,55.4,12.9,0.1,2022-2024,3397.52,65.99,1152944,NA,Middle East & North Africa,Lower middle income,0.86,0.42,0.48,7,534119,63,18.9,NA,NA,NA,NA,NA,NA,2726.38,101.19,25.36,FALSE,None
Dominica,20.9,3.6,NA,2022-2024,9912.96,71.13,66510,NA,Latin America & Caribbean,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3278.3,NA,NA,FALSE,None
Dominican Republic,28,3.6,0.4,2022-2024,10630.43,73.72,11331265,1.3,Latin America & Caribbean,Upper middle income,0.2,0.39,0.06,1,740707,33.7,5,NA,NA,NA,NA,NA,NA,3227.89,117.24,0.78,FALSE,None
Early-demographic dividend,13,NA,NA,NA,4313.65,71.8,3511607650,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
East Asia & Pacific,9.9,NA,NA,NA,13117.91,76.66,2384479340,2.2,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
East Asia & Pacific (excluding high income),9,NA,NA,NA,10125.77,75.88,2137527754,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
East Asia & Pacific (IDA & IBRD countries),9,NA,NA,NA,10239.67,75.91,2111139152,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
East Timor,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2222.32,NA,43.94,FALSE,None
Ecuador,43.1,12.1,2.2,2022-2024,6737.85,77.39,17980083,4.7,Latin America & Caribbean,Upper middle income,0.41,0.45,0.17,6,2377247,39.4,16.1,NA,NA,NA,NA,NA,NA,2574.29,113.35,7.31,FALSE,None
Ecuador (urban),8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.14,FALSE,None
Egypt,19.5,9.4,10.8,2022-2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2988741,44.1,12.2,NA,NA,NA,NA,NA,NA,3071.08,111.91,1.37,FALSE,None
"Egypt, Arab Rep.",28.3,NA,NA,NA,3456.79,71.63,114535772,NA,Middle East & North Africa,Lower middle income,0.73,0.28,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
El Salvador,32.2,6.7,0.4,2022-2024,5365.44,72.1,6309624,4.6,Latin America & Caribbean,Upper middle income,0.4,0.4,0.15,13,1647093,37.2,8.5,NA,NA,NA,NA,NA,NA,2861.11,110.35,4.64,FALSE,None
Equatorial Guinea,39.4,NA,NA,NA,6677.79,63.71,1847549,NA,Sub-Saharan Africa,Upper middle income,0.68,0.39,0.3,NA,NA,64.9,15.4,NA,NA,NA,NA,NA,NA,NA,91.65,8.79,FALSE,None
Eritrea,43,NA,NA,NA,NA,68.62,3470390,NA,Sub-Saharan Africa,Low income,NA,NA,NA,2,389884,70,44.7,NA,NA,NA,NA,NA,NA,NA,95.04,NA,FALSE,None
Estonia,13.2,2.5,NA,2022-2024,30133.3,78.49,1370286,0.3,Europe & Central Asia,High income,0.02,0.31,0.01,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,3238.83,99.26,0.32,FALSE,None
Eswatini,64.4,14.7,0.2,2022-2024,3741.69,64.12,1230506,NA,Sub-Saharan Africa,Lower middle income,0.83,0.55,0.55,4,102765,56.1,16.6,NA,NA,NA,35.1,40.4,NA,2517.15,89.38,44.53,FALSE,None
Ethiopia,79.7,19.7,25.4,2022-2024,NA,67.32,128691692,NA,Sub-Saharan Africa,Low income,0.96,0.31,0.6,125,10818501,76.3,33,NA,NA,NA,NA,NA,NA,2441.08,83.94,38.64,TRUE,"2015-2016, 2020-2022"
Ethiopia (former),4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1616.69,NA,NA,FALSE,None
Ethiopia (rural),20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.18,FALSE,None
"Ethiopia, former",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.11,NA,FALSE,None
Euro area,5,NA,NA,NA,45068.7,82.19,350292725,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Faroe Islands,5,NA,NA,NA,71774.35,83.14,54439,NA,Europe & Central Asia,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Fiji,32.1,6.8,NA,2022-2024,5888.74,67.32,924145,NA,East Asia & Pacific,Upper middle income,0.73,0.31,0.29,10,275589,39.2,6.7,7.2,4.5,4.6,11.7,15.1,NA,2982.45,116.5,4.65,FALSE,None
Finland,11.3,2.5,NA,2022-2024,52821.51,81.69,5583911,0.2,Europe & Central Asia,High income,0,0.27,0,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,3360.38,112.66,0.2,FALSE,None
Former Soviet Union,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.57,NA,FALSE,None
Fragile and conflict affected situations,38.6,NA,NA,NA,1722.02,63.35,1057033168,41.5,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
France,14,2.5,NA,2022-2024,44690.93,82.93,68287487,0.1,Europe & Central Asia,High income,0,0.32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3505.48,105.75,0.07,FALSE,None
French Guiana (France),6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.69,NA,FALSE,None
French Polynesia,8,3.8,NA,2022-2024,22774.14,84.07,281118,NA,East Asia & Pacific,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3146.08,NA,NA,FALSE,None
Gabon,65.8,25.3,0.6,2022-2024,8071.4,68.34,2484789,NA,Sub-Saharan Africa,Upper middle income,0.43,0.38,0.16,1,229876,40.4,12.1,13.3,3.43,5.22,24.4,33.7,9.51,2507.95,84.48,3.81,FALSE,None
Gambia,36.7,16.8,0.5,2022-2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1845413,56.5,12.4,14.2,3.7,8.05,47.2,54,12.5,2516.92,63.71,22,FALSE,None
"Gambia, The",35.3,NA,NA,NA,888.16,65.86,2697845,NA,Sub-Saharan Africa,Low income,0.86,0.39,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Gaza,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2316113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Georgia,23.1,2.5,NA,2022-2024,8283.67,74.5,3715483,5.8,Europe & Central Asia,Upper middle income,0.58,0.34,0.21,1,682695,NA,4.4,NA,NA,NA,NA,NA,NA,3064.71,128.22,4.23,FALSE,None
Germany,14.4,2.5,NA,2022-2024,53940.41,80.54,83901923,NA,Europe & Central Asia,High income,0.01,0.32,0,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,3573.13,109.55,0.24,FALSE,None
Ghana,53.2,6.3,2.1,2022-2024,2383.9,65.5,33787914,NA,Sub-Saharan Africa,Lower middle income,0.9,0.44,0.56,44,4819969,52.9,13.8,16.9,5.78,11.6,26.8,39.1,12.7,3132.98,104.66,39.03,FALSE,None
Gibraltar,5,NA,NA,NA,NA,83.55,38471,NA,Europe & Central Asia,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Greece,14.4,2.5,NA,2022-2024,23400.73,81.54,10405588,0.6,Europe & Central Asia,High income,0.05,0.33,0.02,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,3389.06,91.43,0.59,FALSE,None
Greenland,5,NA,NA,NA,58498.97,71.55,56865,NA,Europe & Central Asia,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Grenada,18.1,NA,NA,NA,11308.29,75.2,117081,NA,Latin America & Caribbean,Upper middle income,0.29,0.44,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2803.19,NA,0.77,FALSE,None
Guam,5,NA,NA,NA,NA,77.21,166506,NA,East Asia & Pacific,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Guatemala,51.7,11.8,2.1,2022-2024,5758.31,72.6,18124838,9.7,Latin America & Caribbean,Upper middle income,0.57,0.45,0.25,3,1569772,45.4,41.9,NA,NA,NA,NA,NA,NA,2790.44,94.62,9.66,FALSE,None
Guinea,58.4,11.4,1.6,2022-2024,1555.49,60.74,14405468,NA,Sub-Saharan Africa,Lower middle income,0.86,0.3,0.4,19,3159960,69.8,24.5,NA,NA,NA,NA,NA,NA,2872.64,98.84,11.65,FALSE,None
