country,undernourishment,climate_vulnerability,gdp_per_capita,rural_pct,ag_land_pct,disaster_count,water_per_capita,kcal_per_capita,ln_gdp,ln_water
Switzerland,2.5,0.251030071,100631.8028,25.798,37.7938948,4,4641.253,3432.2642,11.51922362,8.442739652
Tajikistan,8.4,0.353911015,1178.479901,71.766,27.94653794,5,6367.07,2706.0093,7.071980667,8.758894674
Thailand,4.6,0.449312233,7195.101309,46.392,43.79807786,2,3130.048,2876.504,8.8811557,8.048803619
Togo,26.4,0.522899733,985.6975126,55.51,70.2334988,6,37677.04,2167.062,6.893349525,10.53680617
Trinidad and Tobago,11.2,0.373851853,18639.25924,46.561,10.52631579,8,2807.9248,2984.954,9.833025347,7.940200984
Tunisia,3,0.3775128,3950.375342,29.456,62.4388517,7,348.1726,3539.61,8.281565877,5.852698334
Turkiye,2.5,0.374869483,13105.6585,22.537,50.13837818,7,2697.65,3452.4268,9.480799363,7.900136303
Turkmenistan,4.3,0.371705803,8232.65226,45.997,84.22156321,7,198.10934,2521.2112,9.015863509,5.2888191
Uganda,22,0.538961363,1002.309139,73.229,71.88809096,9,849.47095,2163.469,6.910061756,6.744613744
Ukraine,6.9,0.364919148,5139.598145,29.905,71.2996203,8,1243.8306,2757.9172,8.544730173,7.12595109
United Arab Emirates,2.5,0.383254152,49040.69475,12.221,5.515399887,8,15.665547,3061.6863,10.80040574,2.751463842
Uruguay,2.5,0.37367105,23019.42216,4.229,81.35413096,7,27144.033,3337.967,10.04409358,10.20891252
Uzbekistan,2.5,0.359823658,2878.968793,49.468,58.05514581,6,477.16812,3242.6484,7.965187451,6.167868882
Vanuatu,7.2,0.558145943,3515.236336,74.024,15.34044299,4,32693.842,2907.5132,8.164862038,10.39494202
Viet Nam,5.3,0.467699325,4323.35032,60.52,39.21473763,7,3632.8867,3026.1506,8.371785918,8.197782845
Zambia,16.8,0.529306252,1330.727806,53.665,32.06795894,10,1164.5918,2516.9207,7.193481294,7.060125918
Zimbabwe,19.7,0.502217314,2156.034093,67.483,41.79170635,2,776.0864,2072.4438,7.676025745,6.654263854
