rank,country,iso3,vulnerability,undernourishment,buffer_point,buffer_mc_mean,buffer_ci_low,buffer_ci_high,prob_overperformer
53,Kuwait,KWT,0.362,2.5,2.5835,2.5808,0.8225,4.3622,0.9918
54,Panama,PAN,0.407,5.7,2.5143,2.5189,0.6629,4.3614,0.9866
55,Latvia,LVA,0.3606,2.5,2.4804,2.4848,0.7246,4.2529,0.9897
56,Uzbekistan,UZB,0.3598,2.5,2.4289,2.4365,0.6567,4.1956,0.9871
57,Lithuania,LTU,0.3599,2.5,2.4357,2.4233,0.6807,4.1809,0.9878
58,Armenia,ARM,0.3596,2.5,2.4107,2.4091,0.6312,4.1925,0.9863
59,Cyprus,CYP,0.3589,2.5,2.3629,2.3867,0.6103,4.1769,0.9867
60,Comoros,COM,0.5412,15.4,2.1527,2.1592,-1.204,5.5331,0.8554
61,Hungary,HUN,0.3535,2.5,1.9858,1.9725,0.1984,3.7445,0.9666
62,Bulgaria,BGR,0.3533,2.5,1.9773,1.972,0.2132,3.7357,0.9657
63,Djibouti,DJI,0.5006,12.9,1.8247,1.8369,-0.8888,4.6263,0.8628
64,India,IND,0.4848,12.0,1.6268,1.6256,-0.857,4.1364,0.8594
65,Denmark,DNK,0.3481,2.5,1.6105,1.601,-0.1697,3.3688,0.9328
66,Jamaica,JAM,0.4214,7.7,1.5139,1.5133,-0.4193,3.4453,0.9013
67,Peru,PER,0.4089,6.9,1.4436,1.4511,-0.4094,3.3363,0.9022
68,Bosnia and Herzegovina,BIH,0.3457,2.5,1.4454,1.4405,-0.3312,3.2054,0.91
69,Turkmenistan,TKM,0.3717,4.3,1.4557,1.4395,-0.341,3.2139,0.9054
70,Barbados,BRB,0.3705,4.4,1.2724,1.2776,-0.4985,3.0521,0.8834
71,Italy,ITA,0.3422,2.5,1.2017,1.1973,-0.5601,2.9537,0.8691
72,Albania,ALB,0.3806,5.4,0.9752,0.9769,-0.817,2.7709,0.812
73,Greece,GRC,0.3371,2.5,0.8447,0.8449,-0.9449,2.6376,0.7779
74,Estonia,EST,0.3345,2.5,0.6651,0.6627,-1.1314,2.4449,0.731
75,Belgium,BEL,0.3333,2.5,0.583,0.5951,-1.2364,2.3934,0.7086
76,Paraguay,PRY,0.3723,5.2,0.5958,0.5912,-1.1837,2.354,0.7073
77,Chile,CHL,0.3325,2.5,0.5286,0.5155,-1.2962,2.3161,0.6818
78,Guinea-Bissau,GNB,0.6132,22.1,0.4568,0.4599,-4.3087,5.1698,0.5628
79,Sao Tome and Principe,STP,0.5399,17.4,0.0568,0.0554,-3.5743,3.7004,0.5081
