Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","108","Burundi","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","132","Cabo Verde","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","13.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","132","Cabo Verde","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","<0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","116","Cambodia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","5.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","116","Cambodia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","0.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","120","Cameroon","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","4.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","120","Cameroon","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","1.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","124","Canada","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","124","Canada","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","140","Central African Republic","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","29.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","140","Central African Republic","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","1.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","32","E","Estimated value",""
"FS","Suite of Food Security Indicators","148","Chad","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","6.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","152","Chile","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","152","Chile","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","0.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","159","China","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","159","China","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","344","China, Hong Kong SAR","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","3.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","344","China, Hong Kong SAR","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","0.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","446","China, Macao SAR","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","11.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","446","China, Macao SAR","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","<0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","156","China, mainland","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","156","China, mainland","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","158","China, Taiwan Province of","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","3.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","158","China, Taiwan Province of","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","0.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","170","Colombia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","3.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","170","Colombia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","2","E","Estimated value",""
"FS","Suite of Food Security Indicators","174","Comoros","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","15.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","174","Comoros","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","178","Congo","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","26.4","E","Estimated value",""
