iso3,year,undernourishment,vulnerability,ln_gdp_pcap
ARM,2016,2.5,0.36261667944711,8.167472515759012
AUT,2016,2.5,0.298561539584274,10.715783488887995
AZE,2016,2.5,0.40266599423888,8.263767022097623
BRB,2016,2.5,0.366827508449087,9.855651799222843
BLR,2016,2.5,0.347060264971145,8.525116838148579
BEL,2016,2.5,0.340900664323307,10.641955787562523
BLZ,2016,6.5,0.45344608503568,8.722986897940574
BEN,2016,9.1,0.585880278601888,6.918234080268521
BIH,2016,2.5,0.346865906193011,8.502803459071167
BWA,2016,20.3,0.436907186564909,8.81715850652203
BRA,2016,2.5,0.369249005498211,9.086621991284124
BGR,2016,4.1,0.353664577431849,8.964759377483547
BFA,2016,13.6,0.53719032146224,6.497894069428423
CPV,2016,16.6,0.419795101962444,8.191176598211477
KHM,2016,7.5,0.490135645212902,7.42368518795844
CMR,2016,4.8,0.484695493403968,7.273592243929721
CAN,2016,2.5,0.282045932704806,10.652874734893194
CAF,2016,28.6,0.581202394246923,5.958879895467099
TCD,2016,25.9,0.655204421725884,6.759060086454947
CHL,2016,3.3,0.339256813077204,9.521483961380758
CHN,2016,2.5,0.386313077048712,9.018558437778536
COL,2016,5.0,0.419760537508253,8.692799334152472
COM,2016,14.0,0.526297371464751,7.219264248082001
CRI,2016,2.5,0.383451806917013,9.400219147640865
HRV,2016,2.5,0.372841906932202,9.45885328744001
CYP,2016,2.5,0.35314027746594,10.115171868767293
CZE,2016,2.5,0.258970224148806,9.839160671497723
DNK,2016,2.5,0.34206134932845,10.90597297208536
DJI,2016,13.1,0.507026326982836,7.828209335231141
DMA,2016,4.6,0.438117493903053,9.082798062696035
DOM,2016,7.4,0.427759656076643,8.876326991264788
ECU,2016,8.8,0.466223289548431,8.685692613228005
SLV,2016,9.1,0.426105627643718,8.269075401208582
EST,2016,2.5,0.337365123766835,9.834478983720828
SWZ,2016,16.2,0.472934189312386,8.083269062264794
ETH,2016,13.6,0.550349978525202,6.54563135169925
FJI,2016,7.2,0.493082342167864,8.587426143486585
FIN,2016,2.5,0.284931894759472,10.679395042685613
FRA,2016,2.5,0.302903776042362,10.519327456288199
GAB,2016,14.1,0.435587623575541,8.80643455339645
GEO,2016,6.5,0.422025482639425,8.329272289152755
DEU,2016,2.5,0.299710708297431,10.668048837145813
GHA,2016,9.4,0.47363775935942,7.5561560628478945
GRC,2016,2.5,0.339587121792143,9.793630422114855
GTM,2016,15.4,0.450096549208834,8.308972131268654
GIN,2016,13.6,0.544141988954736,6.568073009408832
GNB,2016,28.0,0.633352395720118,6.521600598569827
GUY,2016,4.4,0.469224478467527,8.677759516213339
HTI,2016,37.9,0.516792672596686,7.184176193194044
HND,2016,14.2,0.451904203180929,7.74385265469053
HUN,2016,2.5,0.349266429488135,9.489172942419579
ISL,2016,2.5,0.329124725859493,11.034694908967376
IND,2016,12.1,0.507407676737941,7.44279082078555
IDN,2016,7.1,0.468394871479568,8.16663363448735
IRQ,2016,15.7,0.438937367940408,8.37434330798439
IRL,2016,2.5,0.313760108567182,11.069648542906991
ISR,2016,2.5,0.304106288548322,10.536660152357083
ITA,2016,2.5,0.34608286660635,10.35429464189032
JAM,2016,8.0,0.43374580702078,8.519150172727157
JOR,2016,7.4,0.392787456942509,8.290723306510515
KAZ,2016,2.5,0.312964882021052,8.919395233094958
KEN,2016,20.8,0.502010045834136,7.348668675089776
KIR,2016,3.0,0.577534502561957,7.463172547308213
