region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,spl,spr,pg,estimate_type
Latin America & Caribbean,LCN,Argentina,ARG,1996,urban,EPH,urban,1996,income,1,1992 - 1997,10,0.321393742635,0.136314212832,0.081338585067,0.252598922369,23.160503034754,15.137418238411,0.485672190055,0.49490517276,0.471092478052,0.010571454196,0.024805129779,0.03555060459,0.046428516032,0.058318604831,0.073007987693,0.091961918021,0.11978085037,0.170956958662,0.368617975826,0.010321554724,42.98624039,31382118,10352.1400002191,6296.48453158619,FALSE,micro,survey,8.869,0.274472873017,4.816166410057,
Latin America & Caribbean,LCN,Argentina,ARG,1997,urban,EPH,urban,1997,income,1,1992 - 1997,10,0.305617717788,0.128189923909,0.075212735208,0.229153003928,24.26698022729,16.209293787982,0.469888209334,0.490852412111,0.473790993394,0.010994912248,0.024661893533,0.035171906912,0.046867869082,0.059359860436,0.073082134813,0.092749025466,0.120743063895,0.172765821159,0.363603512458,0.010380481663,42.98624039,31836802,11056.6881331002,6778.85126022464,FALSE,micro,survey,9.405,0.282428324223,4.184862295776,
Latin America & Caribbean,LCN,Argentina,ARG,1998,urban,EPH,urban,1998,income,2,1998 - 2002,10,0.331531189483,0.141549111491,0.082539499434,0.245786508344,23.56365321875,14.829559186315,0.4935459987,0.507127070218,0.495056799523,0.010789993397,0.023426550117,0.033656995867,0.044342998367,0.056366621478,0.070634124737,0.090512523711,0.11957685191,0.170239613985,0.380453726431,0.01049530564,42.98624039,32284187,11348.2022124673,6932.44804328059,FALSE,micro,survey,8.715,0.283324376436,4.110240501122,
Latin America & Caribbean,LCN,Argentina,ARG,1999,urban,EPH,urban,1999,income,2,1998 - 2002,10,0.345077780366,0.145711908635,0.085650841091,0.258183889021,22.4618141485,14.727661561535,0.481002854161,0.497656214795,0.485454552476,0.010884709051,0.024181726395,0.034633072925,0.045214038002,0.057957967214,0.072896078722,0.091842407633,0.120954722486,0.171037644525,0.370397633045,0.010282301003,42.98624039,32729606,10838.3199346387,6716.03909226092,FALSE,micro,survey,8.664,0.288543355111,4.459001542749,
Latin America & Caribbean,LCN,Argentina,ARG,2000,urban,EPH,urban,2000,income,2,1998 - 2002,10,0.370613180007,0.16445451181,0.099090171238,0.293791670311,21.970245449563,14.007322201724,0.511151010403,0.510379630116,0.509462009737,0.009657948175,0.022372580002,0.0324878856,0.043271029929,0.055972728458,0.0717454581,0.091097455225,0.122054836852,0.174440382954,0.376899694704,0.010210462309,42.98624039,33173290,10631.6503639029,6596.5639458779,FALSE,micro,survey,8.304,0.309325761066,4.750332016907,
Latin America & Caribbean,LCN,Argentina,ARG,2001,urban,EPH,urban,2001,income,2,1998 - 2002,10,0.415657025232,0.204177595432,0.131559152838,0.39215946523,20.234463726807,12.500795095672,0.58318620721,0.532930387521,0.539204145204,0.006856287929,0.019289760274,0.030165941558,0.0407274698,0.053432560655,0.069154936399,0.089951408309,0.120602802496,0.175205516581,0.394613315999,0.010094974498,42.98624039,33609880,10051.9448463043,6149.93705312323,FALSE,micro,survey,7.55,0.314593849177,6.38601090267,
Latin America & Caribbean,LCN,Argentina,ARG,2002,urban,EPH,urban,2002,income,2,1998 - 2002,10,0.559402128195,0.290659655572,0.189895377107,0.530968674758,14.21221215811,8.57531838084,0.557328131427,0.537595534479,0.535251268547,0.008955458221,0.018848180003,0.028988163709,0.040440661135,0.05327596554,0.068435756003,0.08683024336,0.116631976701,0.172622885229,0.404970710099,0.013980291109,42.98624039,34040070,8861.56199282278,5211.13553090667,FALSE,micro,survey,5.588,0.343618571964,6.683960141917,
Latin America & Caribbean,LCN,Argentina,ARG,2003,urban,EPHC-S2,urban,2003,income,3,2003 - 2024,10,0.403443096143,0.181913327076,0.108461326447,0.306641772978,20.09143048403,12.644421110118,0.493736449753,0.509944563324,0.513536819595,0.010675478237,0.022175544534,0.032116821955,0.043586499885,0.055681204054,0.071183182075,0.092434307268,0.1225399994,0.172135416278,0.377471546314,0.014530157693,42.98624039,34461202,9545.53194119994,5578.89503805421,FALSE,micro,survey,7.622,0.303750919278,4.178647783932,
Latin America & Caribbean,LCN,Argentina,ARG,2004,urban,EPHC-S2,urban,2004,income,3,2003 - 2024,10,0.349410398835,0.150546222924,0.086607394064,0.245434312598,21.657000030013,14.657603040771,0.441200449465,0.484835313699,0.477846760157,0.011980749157,0.02380789943,0.034664446142,0.046334332018,0.060004047141,0.075639138553,0.095640841874,0.12545925015,0.173478539939,0.352990755597,0.015338319197,42.98624039,34879982,10302.4465316428,6047.23318871609,FALSE,micro,survey,8.629,0.297597259525,3.467751681484,
Latin America & Caribbean,LCN,Argentina,ARG,2005,urban,EPHC-S2,urban,2005,income,3,2003 - 2024,10,0.304899309652,0.125755718823,0.07020674389,0.200666341618,23.822049824862,16.261773678931,0.426015014746,0.478102856679,0.465010169941,0.012544285569,0.024917854751,0.035695411342,0.047581461945,0.06086113995,0.076405858998,0.096366867947,0.124527186634,0.171466476144,0.34963345672,0.016989969541,42.98624039,35307267,11099.7509190602,6427.89528361693,FALSE,micro,survey,9.431,0.284071296436,3.03768615773,
